data,Football,Casual,Fishing
2018-11-11,35655.3225,21169.141,31504.36275
2018-11-18,25964.484,13651.9215,24288.8191
2018-11-25,29867.540500000003,45310.849500000004,33196.2792
2018-12-02,19077.9155,20428.4255,35636.22125
2018-12-09,35462.244999999995,24933.8425,27681.6141
2018-12-16,57028.485499999995,16972.648,24993.2732
2018-12-23,33522.384,12060.976666666666,24774.218
2018-12-30,11504.71385,42693.11783333333,23377.039000000004
2019-01-06,13681.657500000001,16426.0425,23251.1153
2019-01-13,65557.55500000001,20646.9025,25270.5614
2019-01-20,40662.327999999994,48780.256,29000.034
2019-01-27,31920.77,26782.224000000002,20099.2645
2019-02-03,20729.089500000002,19155.9725,27273.9831
2019-02-10,65790.9,16667.028,40131.7056
2019-02-17,23980.9689,20541.5875,19780.3459
2019-02-24,26309.339,13959.1935,22138.6172
2019-03-03,19287.4304,26046.257999999998,33895.5708
2019-03-10,50466.7828,12595.57075,24800.071799999998
2019-03-17,19244.8914,12508.118,24863.9216
2019-03-24,17475.5994,9505.8145,26221.039599999996
2019-03-31,16750.453999999998,13090.2415,29445.3306
2019-04-07,20257.237,26606.781600000002,30350.0071
2019-04-14,42166.5979,13813.198,19849.275599999997
2019-04-21,18449.7425,9858.9295,24144.1039
2019-04-28,11034.121000000001,7809.004000000001,24535.091
2019-05-05,16241.431499999999,25149.428499999998,32188.1049
2019-05-12,43815.7895,15450.742999999999,23054.6512
2019-05-19,17847.0929,8025.6225,26595.052399999997
2019-05-26,14794.981600000001,6886.5685,21467.2857
2019-06-02,18641.581,28063.35,28375.288899999996
2019-06-09,54738.194,19083.078,31522.8445
2019-06-16,21847.4935,4774.4865,21225.4742
2019-06-23,11345.523,3808.273,20821.0646
2019-06-30,13412.794500000002,3798.46425,12195.1053
2019-07-07,25949.616,27935.9395,25432.168299999998
2019-07-14,62975.47900000001,20600.853,20657.020999999997
2019-07-21,82920.075,38779.874,20694.0258
2019-07-28,77286.342,29822.936499999996,19467.3332
2019-08-04,59083.284400000004,30132.273500000003,27026.72
2019-08-11,31848.082,26788.832,26901.4984
2019-08-18,46412.7335,18816.0735,12334.5341
2019-08-25,82812.90149999999,10041.269,14390.984999999999
2019-09-01,116375.966,22706.326999999997,25798.7884
2019-09-08,25017.061999999998,18611.845,16844.618
2019-09-15,55745.1706,12193.72175,20247.9032
2019-09-22,54366.907,6909.6965,17662.4819
2019-09-29,39816.8344,8680.021,14876.0535
2019-10-06,14628.170900000001,19016.998000000003,25054.1081
2019-10-13,46498.80270000001,19708.5665,24546.448500000002
2019-10-20,27590.671499999997,7891.191,20222.5037
2019-10-27,21321.125,7033.1835,20602.2572
2019-11-03,35864.217899999996,12612.607,20901.269200000002
2019-11-10,42890.2978,11708.756500000001,15155.984900000001
2019-11-17,25823.7336,12592.1635,13326.6427
2019-11-24,20101.2469,6295.359,24035.9392
2019-12-01,36286.8408,16003.75,33935.0949
2019-12-08,43710.268000000004,20714.138899999998,24341.6005
2019-12-15,42256.8384,21606.3015,16411.9179
2019-12-22,26511.7503,11136.545,18438.5502
2019-12-29,8594.96365,3256.0919999999996,12174.971549999998
2020-01-05,9508.56095,19292.882,21065.04435
2020-01-12,33383.161700000004,25962.006,22145.6795
2020-01-19,24131.837799999998,22403.8045,17243.0804
2020-01-26,25579.4854,14386.029,20593.377699999997
2020-02-02,17611.972,12222.941499999999,19637.4479
2020-02-09,23329.089699999997,22692.9045,41248.9532
2020-02-16,17924.2,14925.82,22551.6585
2020-02-23,9725.737000000001,6897.40975,22570.5326
2020-03-01,14641.8825,13638.086,16962.9425
2020-03-08,22455.7186,26489.6135,33843.6567
2020-03-15,24171.9401,13674.017,23009.5103
2020-03-22,3577.9842,4709.026,28664.8019
2020-03-29,3973.3078,5023.319,23586.6778
2020-04-05,11614.5925,25842.442499999997,26889.108399999997
2020-04-12,27023.622499999998,17443.949833333332,23923.6032
2020-04-19,12093.713800000001,33026.371,44355.580500000004
2020-04-26,12427.583,43553.1215,40143.2696
2020-05-03,21338.057999999997,27662.1205,38228.3951
2020-05-10,35744.5718,26575.104499999998,25672.8647
2020-05-17,9174.4646,32455.3985,39308.5966
2020-05-24,10680.7582,26414.447500000002,39014.086299999995
2020-05-31,2115.1795,27800.4755,30002.157849999996
2020-06-07,10649.3702,30775.3145,33270.3714
2020-06-14,28212.030000000002,17006.8444,30856.4277
2020-06-21,9628.0625,30420.6714,37376.7065
2020-06-28,9096.4076,16797.7425,25459.013299999995
2020-07-05,8836.548,25853.387000000002,28614.5398
2020-07-12,26609.466099999998,20285.1145,33412.113
2020-07-19,23637.7246,8619.9295,26590.096400000002
2020-07-26,16664.3435,9800.6965,32377.300199999998
2020-08-02,40687.2319,17892.6055,20410.0883
2020-08-09,26571.3462,24481.194499999998,33977.303499999995
2020-08-16,25259.079999999998,11301.1255,21575.4917
2020-08-23,45003.5775,16891.7,16218.509999999998
2020-08-30,60760.147,10763.8125,20300.6846
2020-09-06,30861.3424,29148.714,27563.39285
2020-09-13,34739.1646,14732.949,23171.860599999996
2020-09-20,61229.5628,14097.5485,21923.3616
2020-09-27,76641.6077,11565.0325,21153.199200000003
2020-10-04,39783.9183,14109.9385,24337.0575
2020-10-11,23303.1946,29866.508,28514.6764
2020-10-18,31932.6231,12082.728,25418.663200000003
2020-10-25,15489.978,9366.84,27147.316
2020-11-01,16275.091,8739.08,13841.984100000001
2020-11-08,17250.762199999997,25200.2275,37157.32089999999
2020-11-15,21182.3157,11911.746,24147.944799999997
2020-11-22,17834.992,14020.110999999999,23670.929799999998
2020-11-29,32556.5835,34215.1915,35450.5158
2020-12-06,17030.757100000003,30607.017,31329.0236
2020-12-13,20410.9556,11634.4165,28432.2416
2020-12-20,24278.5767,15808.814,34889.4966
2020-12-27,6072.9585,5539.981999999999,26204.6435
2021-01-03,14160.7375,34838.4085,30248.1613
2021-01-10,14706.517,19815.9465,20702.2445
2021-01-17,22132.463499999998,24459.6359,27638.2078
2021-01-24,10541.6185,30288.7592,33745.486600000004
2021-01-31,11187.7157,24180.8609,30553.533499999998
2021-02-07,10417.511999999999,29808.811899999997,32853.695700000004
2021-02-14,24833.277,11589.193,23226.707000000002
2021-02-21,7814.373,11195.975699999999,21470.7136
2021-02-28,12400.22175,17173.366,26145.2541
2021-03-07,9313.563,23610.1775,30747.3131
2021-03-14,21797.4379,19614.402499999997,32620.4746
2021-03-21,9707.895400000001,19784.1042,35712.7295
2021-03-28,8585.6505,14802.333,31317.5835
2021-04-04,6276.774,19236.5075,29215.4961
2021-04-11,25839.6754,9466.786,19708.9382
2021-04-18,10004.0164,11501.5957,22787.3163
2021-04-25,10568.876499999998,11160.086,27250.689899999998
2021-05-02,14673.6835,28640.311,19128.6319
2021-05-09,16884.679,14150.619,20109.011300000002
2021-05-16,16298.8385,23636.6508,23565.6974
2021-05-23,5537.091,20963.3431,20444.2434
2021-05-30,9422.2233,12758.7677,16932.0088
2021-06-06,18160.229499999998,15739.5952,34153.5719
2021-06-13,23133.2451,18974.459,20277.7218
2021-06-20,16882.614,14258.9902,18055.2449
2021-06-27,18041.492,10423.294,16047.6932
2021-07-04,10870.7795,15367.688699999999,27166.0662
2021-07-11,23364.649,17865.7192,17537.3842
2021-07-18,24065.51,16106.7522,18868.0289
2021-07-25,18043.144,10680.7582,23205.231
2021-08-01,23023.7175,17602.2665,23990.8809
2021-08-08,14249.1195,16417.8651,21976.638600000002
2021-08-15,26333.9538,14966.459200000001,18806.3267
2021-08-22,8308.5275,7604.30055,21974.2019
2021-08-29,29855.9765,10900.680699999999,23893.3716
2021-09-05,23432.31905,26601.495199999998,25827.6158
2021-09-12,16706.2217,11046.4284,11502.2152
2021-09-19,31836.228900000002,15920.4066,21920.305399999997
2021-09-26,22321.2045,10172.189999999999,21349.085100000004
2021-10-03,20401.5805,17344.348,26475.6128
2021-10-10,16899.3405,17198.559,27026.9265
2021-10-17,19399.2295,17605.1575,19479.227600000002
2021-10-24,29504.472199999997,11228.644,29484.1939
2021-10-31,16711.0125,17070.425750000002,24875.1552
2021-11-07,11259.825499999999,18349.7552,28120.3027
2021-11-14,37054.9795,13944.532,15076.0281
2021-11-21,21830.354,9403.5557,24432.3366
2021-11-28,31634.3545,35412.8915,42652.4511
2021-12-05,12472.3935,10694.3872,40906.3697
2021-12-12,25454.016,8456.3815,19629.5596
2021-12-19,26666.7492,17941.133,23269.8242
2021-12-26,9448.8205,4542.3392,12724.1996
2022-01-02,12244.0045,9450.0182,10192.5922
2022-01-09,23180.822699999997,12343.2484,21231.917
2022-01-16,19513.547899999998,16072.514500000001,18937.8259
2022-01-23,14493.9872,14506.625,19324.3526
2022-01-30,19430.2045,20585.3242,17019.5235
2022-02-06,11197.090799999998,19292.2625,14384.0879
2022-02-13,29845.2385,11199.9405,20169.8462
2022-02-20,19441.355499999998,11525.28125,20304.897200000003
2022-02-27,8247.61,7378.823200000001,23041.7243
2022-03-06,22137.213000000003,17076.724,16297.640800000001
2022-03-13,19168.6929,7145.0652,21227.332700000003
2022-03-20,16853.6627,5273.70025,18080.3553
2022-03-27,15405.1065,6117.1495,17190.5468
2022-04-03,22044.0815,15917.432999999999,17563.9814
2022-04-10,17682.8015,8804.4992,19888.015
2022-04-17,10430.8519,9216.7145,14734.642300000001
2022-04-24,11775.6625,9119.04,22010.7111
2022-05-01,12052.7855,20338.391499999998,16819.7141
2022-05-08,19302.794,10227.903699999999,18613.7035
2022-05-15,17121.947500000002,9501.478000000001,21787.1129
2022-05-22,11703.28425,10265.8997,19279.0052
2022-05-29,10249.834,9897.0907,14710.151399999999
2022-06-05,21474.306699999997,11684.07975,16901.3642
2022-06-12,16702.7525,7545.096999999999,14161.315700000001
2022-06-19,3586.8224,4548.9885,21558.0218
2022-06-26,8807.6793,3274.6357,26435.0149
2022-07-03,18844.0749,9945.59755,21213.455899999997
2022-07-10,21673.001000000004,12420.9337,17554.3998
2022-07-17,14645.9299,15933.333499999999,20620.6357
2022-07-24,26211.871,5995.108,13034.7756
2022-07-31,25160.8273,6218.541,17966.6564
2022-08-07,12469.502499999999,17090.5595,25090.039099999998
2022-08-14,26528.4355,4027.576,18024.8481
2022-08-21,27864.697,4317.089,16785.9307
2022-08-28,35088.5213,5515.9866999999995,9791.1562
2022-09-04,35063.1631,7674.30405,25692.1518
2022-09-11,24918.974500000004,7123.8369999999995,23482.0649
2022-09-18,36502.8398,9182.1877,17589.793899999997
2022-09-25,39108.7872,4706.7958,13794.6543
2022-10-02,28499.684500000003,6788.481,22654.0412
2022-10-09,25788.545999999995,6213.7915,16730.5061
2022-10-16,24089.587900000002,6680.275,14883.0332
2022-10-23,24897.704999999998,9748.452,14110.3102
2022-10-30,14335.23,5313.0385,16319.612399999998
2022-11-06,13830.1723,8111.32,18391.5508
2022-11-13,20533.3275,12945.485,22455.7186
2022-11-20,20708.8525,8704.801,18651.947300000003
2022-11-27,29246.0994,30698.703,24791.1097
2022-12-04,18785.9245,12403.835500000001,16794.232
2022-12-11,21395.465,10608.7723,14214.592700000001
2022-12-18,50668.6985,20081.299,21547.862
2022-12-25,14745.4216,7369.159,18444.8691
2023-01-01,10713.0135,3981.1135,16800.427
